Fragment Size,Count,Range,Group,BAM File
166,1207606,100-200,Normal,H7-plasma.bam
165,1204472,100-200,Normal,H7-plasma.bam
167,1174023,100-200,Normal,H7-plasma.bam
164,1140800,100-200,Normal,H7-plasma.bam
168,1126434,100-200,Normal,H7-plasma.bam
169,1067843,100-200,Normal,H7-plasma.bam
163,1056879,100-200,Normal,H7-plasma.bam
162,991272,100-200,Normal,H7-plasma.bam
170,989703,100-200,Normal,H7-plasma.bam
161,951012,100-200,Normal,H7-plasma.bam
171,916596,100-200,Normal,H7-plasma.bam
160,908406,100-200,Normal,H7-plasma.bam
159,857687,100-200,Normal,H7-plasma.bam
172,846826,100-200,Normal,H7-plasma.bam
158,799663,100-200,Normal,H7-plasma.bam
173,794481,100-200,Normal,H7-plasma.bam
174,752393,100-200,Normal,H7-plasma.bam
157,746562,100-200,Normal,H7-plasma.bam
153,717978,100-200,Normal,H7-plasma.bam
152,717375,100-200,Normal,H7-plasma.bam
156,710592,100-200,Normal,H7-plasma.bam
175,708540,100-200,Normal,H7-plasma.bam
154,692864,100-200,Normal,H7-plasma.bam
155,691855,100-200,Normal,H7-plasma.bam
142,687358,100-200,Normal,H7-plasma.bam
143,683656,100-200,Normal,H7-plasma.bam
151,683155,100-200,Normal,H7-plasma.bam
144,670561,100-200,Normal,H7-plasma.bam
176,665902,100-200,Normal,H7-plasma.bam
141,663777,100-200,Normal,H7-plasma.bam
145,656546,100-200,Normal,H7-plasma.bam
150,642565,100-200,Normal,H7-plasma.bam
146,628517,100-200,Normal,H7-plasma.bam
149,612659,100-200,Normal,H7-plasma.bam
177,609051,100-200,Normal,H7-plasma.bam
147,600934,100-200,Normal,H7-plasma.bam
148,596675,100-200,Normal,H7-plasma.bam
140,588184,100-200,Normal,H7-plasma.bam
178,555096,100-200,Normal,H7-plasma.bam
134,517570,100-200,Normal,H7-plasma.bam
139,503575,100-200,Normal,H7-plasma.bam
179,500933,100-200,Normal,H7-plasma.bam
133,495867,100-200,Normal,H7-plasma.bam
135,449584,100-200,Normal,H7-plasma.bam
180,448854,100-200,Normal,H7-plasma.bam
138,428683,100-200,Normal,H7-plasma.bam
132,412439,100-200,Normal,H7-plasma.bam
181,403424,100-200,Normal,H7-plasma.bam
136,396498,100-200,Normal,H7-plasma.bam
137,392084,100-200,Normal,H7-plasma.bam
182,361813,100-200,Normal,H7-plasma.bam
183,326283,100-200,Normal,H7-plasma.bam
131,326246,100-200,Normal,H7-plasma.bam
184,295534,100-200,Normal,H7-plasma.bam
185,274223,100-200,Normal,H7-plasma.bam
130,262922,100-200,Normal,H7-plasma.bam
122,255323,100-200,Normal,H7-plasma.bam
186,254875,100-200,Normal,H7-plasma.bam
123,247130,100-200,Normal,H7-plasma.bam
187,233871,100-200,Normal,H7-plasma.bam
129,222104,100-200,Normal,H7-plasma.bam
121,219168,100-200,Normal,H7-plasma.bam
188,216492,100-200,Normal,H7-plasma.bam
124,201374,100-200,Normal,H7-plasma.bam
128,198683,100-200,Normal,H7-plasma.bam
189,196337,100-200,Normal,H7-plasma.bam
127,185528,100-200,Normal,H7-plasma.bam
190,177641,100-200,Normal,H7-plasma.bam
125,172821,100-200,Normal,H7-plasma.bam
126,170880,100-200,Normal,H7-plasma.bam
120,166068,100-200,Normal,H7-plasma.bam
191,159770,100-200,Normal,H7-plasma.bam
192,142441,100-200,Normal,H7-plasma.bam
119,130502,100-200,Normal,H7-plasma.bam
193,129172,100-200,Normal,H7-plasma.bam
194,116993,100-200,Normal,H7-plasma.bam
118,110003,100-200,Normal,H7-plasma.bam
195,106242,100-200,Normal,H7-plasma.bam
112,101327,100-200,Normal,H7-plasma.bam
117,101000,100-200,Normal,H7-plasma.bam
111,98407,100-200,Normal,H7-plasma.bam
196,98151,100-200,Normal,H7-plasma.bam
116,97591,100-200,Normal,H7-plasma.bam
113,92588,100-200,Normal,H7-plasma.bam
197,91283,100-200,Normal,H7-plasma.bam
115,90095,100-200,Normal,H7-plasma.bam
114,86690,100-200,Normal,H7-plasma.bam
198,86211,100-200,Normal,H7-plasma.bam
110,82561,100-200,Normal,H7-plasma.bam
199,79677,100-200,Normal,H7-plasma.bam
59,77749,100-200,Normal,H7-plasma.bam
60,77411,100-200,Normal,H7-plasma.bam
61,76774,100-200,Normal,H7-plasma.bam
58,76473,100-200,Normal,H7-plasma.bam
200,73671,100-200,Normal,H7-plasma.bam
62,73110,100-200,Normal,H7-plasma.bam
63,70063,100-200,Normal,H7-plasma.bam
64,68897,100-200,Normal,H7-plasma.bam
201,67273,200-500,Normal,H7-plasma.bam
109,66630,100-200,Normal,H7-plasma.bam
65,66196,100-200,Normal,H7-plasma.bam
57,66058,100-200,Normal,H7-plasma.bam
56,64424,100-200,Normal,H7-plasma.bam
66,62672,100-200,Normal,H7-plasma.bam
55,61894,100-200,Normal,H7-plasma.bam
202,61509,200-500,Normal,H7-plasma.bam
67,60362,100-200,Normal,H7-plasma.bam
70,59689,100-200,Normal,H7-plasma.bam
69,58885,100-200,Normal,H7-plasma.bam
68,58370,100-200,Normal,H7-plasma.bam
108,57809,100-200,Normal,H7-plasma.bam
203,56692,200-500,Normal,H7-plasma.bam
71,56677,100-200,Normal,H7-plasma.bam
72,54672,100-200,Normal,H7-plasma.bam
80,54484,100-200,Normal,H7-plasma.bam
81,54240,100-200,Normal,H7-plasma.bam
74,53855,100-200,Normal,H7-plasma.bam
73,53804,100-200,Normal,H7-plasma.bam
79,52612,100-200,Normal,H7-plasma.bam
103,52385,100-200,Normal,H7-plasma.bam
75,52294,100-200,Normal,H7-plasma.bam
